1850	0.69
1851	0.69
1852	0.70
1853	0.70
1854	0.70
1855	0.71
1856	0.71
1857	0.72
1858	0.72
1859	0.73
1860	0.70
1861	0.69
1862	0.68
1863	0.68
1864	0.68
1865	0.68
1866	0.68
1867	0.67
1868	0.67
1869	0.67
1870	0.74
1871	0.77
1872	0.79
1873	0.81
1874	0.83
1875	0.84
1876	0.85
1877	0.86
1878	0.87
1879	0.88
1880	0.88
1881	0.89
1882	0.90
1883	0.91
1884	0.92
1885	0.93
1886	0.93
1887	0.94
1888	0.94
1889	0.95
1890	0.98
1891	1.01
1892	1.02
1893	1.03
1894	1.04
1895	1.05
1896	1.06
1897	1.07
1898	1.08
1899	1.08
1900	1.12
1901	1.15
1902	1.17
1903	1.18
1904	1.20
1905	1.21
1906	1.22
1907	1.23
1908	1.23
1909	1.24
1910	1.21
1911	1.21
1912	1.20
1913	1.19
1914	1.17
1915	1.16
1916	1.15
1917	1.15
1918	1.15
1919	1.15
1920	1.20
1921	1.23
1922	1.25
1923	1.26
1924	1.27
1925	1.28
1926	1.28
1927	1.29
1928	1.29
1929	1.29
1930	1.35
1931	1.39
1932	1.41
1933	1.44
1934	1.46
1935	1.48
1936	1.50
1937	1.51
1938	1.51
1939	1.52
1940	1.54
1941	1.57
1942	1.56
1943	1.55
1944	1.54
1945	1.53
1946	1.52
1947	1.51
1948	1.50
1949	1.47
1950	1.55
1951	1.60
1952	1.62
1953	1.65
1954	1.67
1955	1.70
1956	1.73
1957	1.76
1958	1.79
1959	1.81
1960	1.67
1961	1.61
1962	1.57
1963	1.51
1964	1.46
1965	1.42
1966	1.38
1967	1.35
1968	1.35
1969	1.36
1970	1.32
1971	1.28
1972	1.25
1973	1.22
1974	1.18
1975	1.15
1976	1.13
1977	1.11
1978	1.07
1979	1.04
1980	1.09
1981	1.10
1982	1.11
1983	1.15
1984	1.19
1985	1.20
1986	1.24
1987	1.28
1988	1.30
1989	1.32
1990	1.32
1991	1.33
1992	1.35
1993	1.35
1994	1.34
1995	1.33
1996	1.31
1997	1.78
1998	1.23
1999	1.20
2000	1.32
2001	1.18
2002	1.34
2003	1.39
2004	1.34
2005	1.21
2006	1.25
2007	1.07
2008	1.13
2009	1.57
2010	1.42
2011	1.36
2012	1.60
2013	1.54
2014	1.60
2015	1.62
2016	1.30
2017	1.39
